acronym,name,classification,formula,bands,polarizations,constants,external_variables,reductions,source,contributor,date_of_addition
NDVI,Normalized Difference Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - R)/(N + R),"['N', 'R']",[],{},{},{},"{'source_companions': ['TVI'], 'source_link': 'https://ntrs.nasa.gov/citations/19740022614', 'source_link_semantic_scholar': {'corpus_id': 133358670, 'paper_id': 'fb2f60fe0fe2874e5cbf927a2556d719c32eac29'}, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {'authors': ['J. Rouse', 'R. H. Haas', 'J. A. Schell', 'D. Deering'], 'citations_metrics': {'citation_count': 10265, 'date': '2026-08-19', 'overall': {'percentile': 100.0, 'percentile_similar_age': 100.0, 'rank': 1, 'rank_similar_age': 1}, 'similar_age_count': 2, 'within_application_domain': {'percentile': 100.0, 'percentile_similar_age': 100.0, 'rank': 1, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'J. Rouse, R. H. Haas, J. A. Schell, & D. Deering (1973). Monitoring vegetation systems in the great plains with ERTS. https://ntrs.nasa.gov/citations/19740022614', 'bibtex': 'ASI_NDVI'}, 'source': 'semantic_scholar', 'title': 'Monitoring vegetation systems in the great plains with ERTS', 'volume': '1', 'year': 1973}}",https://github.com/davemlz,2021-04-07
NDVI4RE,4-band Red Edge Normalized Difference Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((alpha * RE3 + (1 - alpha) * RE2) - (beta * R + (1 - beta) * RE1))/((alpha * RE3 + (1 - alpha) * RE2) + (beta * R + (1 - beta) * RE1)),"['RE3', 'RE2', 'R', 'RE1']",[],"{'alpha': {'default_value': 0.2, 'description': 'Parameter representing the proportion of Red Edge 3 reflectance (Sentinel-2)', 'suggested_range': [0.0, 1.0], 'suggested_values': {'April': 0.2, 'August': 0.7}}, 'beta': {'default_value': 0.2, 'description': 'Parameter representing the proportion of Red reflectance (Sentinel-2)', 'suggested_range': [0.0, 1.0], 'suggested_values': {'April': 0.2, 'August': 0.7}}}",{},{},"{'source_companions': ['SAVI4RE', 'RVI4RE', 'NDTI4RE', 'SNDTI4RE', 'STI4RE'], 'source_link': 'https://doi.org/10.1016/j.jag.2022.102793', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Jiali Liu', 'Jianrong Fan', 'Chao Yang', 'Fubao Xu', 'Xiyu Zhang'], 'citations_metrics': {'citation_count': 20, 'date': '2026-08-18', 'overall': {'percentile': 10.22, 'percentile_similar_age': 36.0, 'rank': 284, 'rank_similar_age': 35}, 'similar_age_count': 50, 'within_application_domain': {'percentile': 9.95, 'percentile_similar_age': 45.16, 'rank': 192, 'rank_similar_age': 19}}, 'how_to_cite': {'apa': 'Jiali Liu, Jianrong Fan, Chao Yang, Fubao Xu, & Xiyu Zhang (2022). Novel vegetation indices for estimating photosynthetic and non-photosynthetic fractional vegetation cover from Sentinel data. International Journal of Applied Earth Observation and Geoinformation, 109. https://doi.org/10.1016/j.jag.2022.102793', 'bibtex': 'ASI_NDTI4RE'}, 'journal': 'International Journal of Applied Earth Observation and Geoinformation', 'source': 'crossref', 'title': 'Novel vegetation indices for estimating photosynthetic and non-photosynthetic fractional vegetation cover from Sentinel data', 'type': 'article', 'volume': '109', 'year': 2022}}",https://github.com/davemlz,2025-09-30
NDVI705,Normalized Difference Vegetation Index (705 and 750 nm),"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(RE2 - RE1) / (RE2 + RE1),"['RE2', 'RE1']",[],{},{},{},"{'source_companions': ['SR705', 'SR555', 'RENDVI'], 'source_link': 'https://doi.org/10.1016/S0176-1617(11)81633-0', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Anatoly Gitelson', 'Mark N. Merzlyak'], 'citations_metrics': {'citation_count': 1206, 'date': '2026-08-18', 'overall': {'percentile': 87.22, 'percentile_similar_age': 65.52, 'rank': 41, 'rank_similar_age': 11}, 'similar_age_count': 29, 'within_application_domain': {'percentile': 83.41, 'percentile_similar_age': 67.86, 'rank': 36, 'rank_similar_age': 10}}, 'how_to_cite': {'apa': 'Anatoly Gitelson, & Mark N. Merzlyak (1994). Spectral Reflectance Changes Associated with Autumn Senescence of Aesculus hippocastanum L. and Acer platanoides L. Leaves. Spectral Features and Relation to Chlorophyll Estimation. Journal of Plant Physiology, 143(3). https://doi.org/10.1016/s0176-1617(11)81633-0', 'bibtex': 'ASI_NDVI705'}, 'issue': '3', 'journal': 'Journal of Plant Physiology', 'source': 'crossref', 'title': 'Spectral Reflectance Changes Associated with Autumn Senescence of Aesculus hippocastanum L. and Acer platanoides L. Leaves. Spectral Features and Relation to Chlorophyll Estimation', 'type': 'article', 'volume': '143', 'year': 1994}}",https://github.com/davemlz,2021-11-06
NDVIMNDWI,NDVI-MNDWI Model,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",((N - R)/(N + R)) - ((G - S1)/(G + S1)),"['N', 'R', 'G', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1007/978-3-662-45737-5_51', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Weifeng Zhou', 'Zhanqiang Li', 'Shijian Ji', 'Chengjun Hua', 'Wei Fan'], 'citations_metrics': {'citation_count': 11, 'date': '2026-08-18', 'overall': {'percentile': 7.35, 'percentile_similar_age': 4.0, 'rank': 291, 'rank_similar_age': 25}, 'similar_age_count': 25, 'within_application_domain': {'percentile': 9.68, 'percentile_similar_age': 16.67, 'rank': 29, 'rank_similar_age': 6}}, 'how_to_cite': {'apa': 'Weifeng Zhou, Zhanqiang Li, Shijian Ji, Chengjun Hua, & Wei Fan (2015). A New Index Model NDVI-MNDWI for Water Object Extraction in Hybrid Area. Communications in Computer and Information Science. https://doi.org/10.1007/978-3-662-45737-5_51', 'bibtex': 'ASI_NDVIMNDWI'}, 'journal': 'Communications in Computer and Information Science', 'source': 'crossref', 'title': 'A New Index Model NDVI-MNDWI for Water Object Extraction in Hybrid Area', 'type': 'book_chapter', 'year': 2015}}",https://github.com/davemlz,2022-01-17
NDVISR,Normalized Difference Vegetation Index with Simple Ratio,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N**2 - R)/(N + R**2),"['N', 'R']",[],{},{},{},"{'source_companions': ['MNLI', 'SAVISR'], 'source_link': 'https://doi.org/10.1109/TGRS.2003.812910', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Peng Gong', 'Ruiliang Pu', 'G.S. Biging', 'M.R. Larrieu'], 'citations_metrics': {'citation_count': 355, 'date': '2026-08-18', 'overall': {'percentile': 58.15, 'percentile_similar_age': 47.46, 'rank': 133, 'rank_similar_age': 33}, 'similar_age_count': 59, 'within_application_domain': {'percentile': 44.08, 'percentile_similar_age': 39.13, 'rank': 120, 'rank_similar_age': 30}}, 'how_to_cite': {'apa': 'Peng Gong, Ruiliang Pu, G.S. Biging, & M.R. Larrieu (2003). Estimation of forest leaf area index using vegetation indices derived from hyperion hyperspectral data. IEEE Transactions on Geoscience and Remote Sensing, 41(6). https://doi.org/10.1109/tgrs.2003.812910', 'bibtex': 'ASI_MNLI'}, 'issue': '6', 'journal': 'IEEE Transactions on Geoscience and Remote Sensing', 'source': 'crossref', 'title': 'Estimation of forest leaf area index using vegetation indices derived from hyperion hyperspectral data', 'type': 'article', 'volume': '41', 'year': 2003}}",https://github.com/davemlz,2026-08-12
NDVIT,Normalized Difference Vegetation Index Thermal,"{'application_domain': 'burn', 'family': None, 'sensing_modalities': ['multispectral', 'thermal']}",(N - (R * T / 10000.0))/(N + (R * T / 10000.0)),"['N', 'R', 'T']",[],{},{},{},"{'source_companions': ['CSIT', 'SAVIT'], 'source_link': 'https://doi.org/10.1080/01431160600954704', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['A. M. S. Smith', 'N. A. Drake', 'M. J. Wooster', 'A. T. Hudak', 'Z. A. Holden', 'C. J. Gibbons'], 'citations_metrics': {'citation_count': 157, 'date': '2026-08-18', 'overall': {'percentile': 39.62, 'percentile_similar_age': 35.0, 'rank': 191, 'rank_similar_age': 28}, 'similar_age_count': 40, 'within_application_domain': {'percentile': 88.24, 'percentile_similar_age': 88.89, 'rank': 4, 'rank_similar_age': 3}}, 'how_to_cite': {'apa': 'A. M. S. Smith, N. A. Drake, M. J. Wooster, A. T. Hudak, Z. A. Holden, & C. J. Gibbons (2007). Production of Landsat ETM+ reference imagery of burned areas within Southern African savannahs: comparison of methods and application to MODIS. International Journal of Remote Sensing, 28(12). https://doi.org/10.1080/01431160600954704', 'bibtex': 'ASI_CSIT'}, 'issue': '12', 'journal': 'International Journal of Remote Sensing', 'source': 'crossref', 'title': 'Production of Landsat ETM+ reference imagery of burned areas within Southern African savannahs: comparison of methods and application to MODIS', 'type': 'article', 'volume': '28', 'year': 2007}}",https://github.com/davemlz,2021-04-07
NDWI,Normalized Difference Water Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(G - N) / (G + N),"['G', 'N']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/01431169608948714', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['S. K. McFEETERS'], 'citations_metrics': {'citation_count': 6617, 'date': '2026-08-18', 'overall': {'percentile': 98.72, 'percentile_similar_age': 100.0, 'rank': 5, 'rank_similar_age': 1}, 'similar_age_count': 47, 'within_application_domain': {'percentile': 100.0, 'percentile_similar_age': 100.0, 'rank': 1, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'S. K. McFEETERS (1996). The use of the Normalized Difference Water Index (NDWI) in the delineation of open water features. International Journal of Remote Sensing, 17(7). https://doi.org/10.1080/01431169608948714', 'bibtex': 'ASI_NDWI'}, 'issue': '7', 'journal': 'International Journal of Remote Sensing', 'source': 'crossref', 'title': 'The use of the Normalized Difference Water Index (NDWI) in the delineation of open water features', 'type': 'article', 'volume': '17', 'year': 1996}}",https://github.com/davemlz,2021-04-07
NDWIns,Normalized Difference Water Index with no Snow Cover and Glaciers,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(G - a * N)/(G + N),"['G', 'N']",[],"{'a': {'default_value': 2.0, 'description': 'Empirical parameter weighting NIR reflectance'}}",{},{},"{'source_companions': ['NDSInw'], 'source_link': 'https://doi.org/10.3390/w12051339', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Dajiang Yan', 'Chang Huang', 'Ning Ma', 'Yinsheng Zhang'], 'citations_metrics': {'citation_count': 48, 'date': '2026-08-18', 'overall': {'percentile': 16.93, 'percentile_similar_age': 31.51, 'rank': 262, 'rank_similar_age': 52}, 'similar_age_count': 73, 'within_application_domain': {'percentile': 29.03, 'percentile_similar_age': 30.77, 'rank': 23, 'rank_similar_age': 10}}, 'how_to_cite': {'apa': 'Dajiang Yan, Chang Huang, Ning Ma, & Yinsheng Zhang (2020). Improved Landsat-Based Water and Snow Indices for Extracting Lake and Snow Cover/Glacier in the Tibetan Plateau. Water, 12(5). https://doi.org/10.3390/w12051339', 'bibtex': 'ASI_NDSInw'}, 'issue': '5', 'journal': 'Water', 'source': 'crossref', 'title': 'Improved Landsat-Based Water and Snow Indices for Extracting Lake and Snow Cover/Glacier in the Tibetan Plateau', 'type': 'article', 'volume': '12', 'year': 2020}}",https://github.com/davemlz,2022-04-08
NDYI,Normalized Difference Yellowness Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(G - B) / (G + B),"['G', 'B']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.rse.2016.06.016', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['John J. Sulik', 'Dan S. Long'], 'citations_metrics': {'citation_count': 185, 'date': '2026-08-18', 'overall': {'percentile': 45.05, 'percentile_similar_age': 68.42, 'rank': 173, 'rank_similar_age': 13}, 'similar_age_count': 38, 'within_application_domain': {'percentile': 31.75, 'percentile_similar_age': 64.29, 'rank': 145, 'rank_similar_age': 6}}, 'how_to_cite': {'apa': 'John J. Sulik, & Dan S. Long (2016). Spectral considerations for modeling yield of canola. Remote Sensing of Environment, 184. https://doi.org/10.1016/j.rse.2016.06.016', 'bibtex': 'ASI_NDYI'}, 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Spectral considerations for modeling yield of canola', 'type': 'article', 'volume': '184', 'year': 2016}}",https://github.com/davemlz,2021-09-18
NGRDI,Normalized Green Red Difference Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(G - R) / (G + R),"['G', 'R']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/0034-4257(79)90013-0', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Compton J. Tucker'], 'citations_metrics': {'citation_count': 9530, 'date': '2026-08-18', 'overall': {'percentile': 99.36, 'percentile_similar_age': 100.0, 'rank': 3, 'rank_similar_age': 1}, 'similar_age_count': 2, 'within_application_domain': {'percentile': 99.05, 'percentile_similar_age': 100.0, 'rank': 3, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Compton J. Tucker (1979). Red and photographic infrared linear combinations for monitoring vegetation. Remote Sensing of Environment, 8(2). https://doi.org/10.1016/0034-4257(79)90013-0', 'bibtex': 'ASI_NGRDI'}, 'issue': '2', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Red and photographic infrared linear combinations for monitoring vegetation', 'type': 'article', 'volume': '8', 'year': 1979}}",https://github.com/davemlz,2021-04-07
NHFD,Non-Homogeneous Feature Difference,"{'application_domain': 'urban', 'family': None, 'sensing_modalities': ['multispectral']}",(RE1 - A) / (RE1 + A),"['RE1', 'A']",[],{},{},{},"{'source_companions': ['NDSIWV'], 'source_link': 'https://doi.org/10.1117/12.917717', 'source_link_semantic_scholar': {'corpus_id': 55635449, 'paper_id': '5e5063ccc4ee76b56b721c866e871d47a77f9fb4'}, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Antonio F. Wolf'], 'citations_metrics': {'citation_count': 61, 'date': '2026-08-19', 'overall': {'percentile': 20.45, 'percentile_similar_age': 11.11, 'rank': 251, 'rank_similar_age': 26}, 'similar_age_count': 27, 'within_application_domain': {'percentile': 15.79, 'percentile_similar_age': 20.0, 'rank': 17, 'rank_similar_age': 9}}, 'how_to_cite': {'apa': 'Antonio F. Wolf (2012). Using WorldView-2 Vis-NIR multispectral imagery to support land mapping and feature extraction using normalized difference index ratios. SPIE Proceedings, 8390. https://doi.org/10.1117/12.917717', 'bibtex': 'ASI_NDSIWV'}, 'journal': 'SPIE Proceedings', 'source': 'crossref', 'title': 'Using WorldView-2 Vis-NIR multispectral imagery to support land mapping and feature extraction using normalized difference index ratios', 'type': 'conference_paper', 'volume': '8390', 'year': 2012}}",https://github.com/davemlz,2021-09-17
NIRv,Near-Infrared Reflectance of Vegetation,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((N - R) / (N + R)) * N,"['N', 'R']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1126/sciadv.1602244', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Grayson Badgley', 'Christopher B. Field', 'Joseph A. Berry'], 'citations_metrics': {'citation_count': 906, 'date': '2026-08-18', 'overall': {'percentile': 80.83, 'percentile_similar_age': 100.0, 'rank': 61, 'rank_similar_age': 1}, 'similar_age_count': 51, 'within_application_domain': {'percentile': 73.93, 'percentile_similar_age': 100.0, 'rank': 56, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Grayson Badgley, Christopher B. Field, & Joseph A. Berry (2017). Canopy near-infrared reflectance and terrestrial photosynthesis. Science Advances, 3(3). https://doi.org/10.1126/sciadv.1602244', 'bibtex': 'ASI_NIRv'}, 'issue': '3', 'journal': 'Science Advances', 'source': 'crossref', 'title': 'Canopy near-infrared reflectance and terrestrial photosynthesis', 'type': 'article', 'volume': '3', 'year': 2017}}",https://github.com/davemlz,2021-11-16
NIRvH2,Hyperspectral Near-Infrared Reflectance of Vegetation,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",N - R - k * (lambdaN - lambdaR),"['N', 'R']",[],"{'k': {'default_value': 0.0, 'description': 'Slope parameter by soil. Derived by fitting a linear model on refletances against wavelengths in either the red region (675-681 nm) or the NIR region (778-800 nm)'}, 'lambdaN': {'description': 'NIR central wavelength (nm)'}, 'lambdaR': {'description': 'Red central wavelength (nm)'}}",{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.rse.2021.112723', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Yelu Zeng', 'Dalei Hao', 'Grayson Badgley', 'Alexander Damm', 'Uwe Rascher', 'Youngryel Ryu', 'Jennifer Johnson', 'Vera Krieger', 'Shengbiao Wu', 'Han Qiu', 'Yaling Liu', 'Joseph A. Berry', 'Min Chen'], 'citations_metrics': {'citation_count': 76, 'date': '2026-08-18', 'overall': {'percentile': 23.0, 'percentile_similar_age': 52.63, 'rank': 242, 'rank_similar_age': 28}, 'similar_age_count': 57, 'within_application_domain': {'percentile': 18.96, 'percentile_similar_age': 57.58, 'rank': 172, 'rank_similar_age': 15}}, 'how_to_cite': {'apa': 'Yelu Zeng, Dalei Hao, Grayson Badgley, Alexander Damm, Uwe Rascher, Youngryel Ryu, Jennifer Johnson, Vera Krieger, Shengbiao Wu, Han Qiu, Yaling Liu, Joseph A. Berry, & Min Chen (2021). Estimating near-infrared reflectance of vegetation from hyperspectral data. Remote Sensing of Environment, 267. https://doi.org/10.1016/j.rse.2021.112723', 'bibtex': 'ASI_NIRvH2'}, 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Estimating near-infrared reflectance of vegetation from hyperspectral data', 'type': 'article', 'volume': '267', 'year': 2021}}",https://github.com/davemlz,2022-01-17
NIRvP,Near-Infrared Reflectance of Vegetation and Incoming PAR,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((N - R) / (N + R)) * N * PAR,"['N', 'R']",[],{},{'PAR': {'description': 'Photosynthetically Active Radiation'}},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.rse.2021.112763', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Benjamin Dechant', 'Youngryel Ryu', 'Grayson Badgley', 'Philipp Köhler', 'Uwe Rascher', 'Mirco Migliavacca', 'Yongguang Zhang', 'Giulia Tagliabue', 'Kaiyu Guan', 'Micol Rossini', 'Yves Goulas', 'Yelu Zeng', 'Christian Frankenberg', 'Joseph A. Berry'], 'citations_metrics': {'citation_count': 169, 'date': '2026-08-18', 'overall': {'percentile': 42.49, 'percentile_similar_age': 82.0, 'rank': 181, 'rank_similar_age': 10}, 'similar_age_count': 50, 'within_application_domain': {'percentile': 29.86, 'percentile_similar_age': 80.65, 'rank': 149, 'rank_similar_age': 7}}, 'how_to_cite': {'apa': 'Benjamin Dechant, Youngryel Ryu, Grayson Badgley, Philipp Köhler, Uwe Rascher, Mirco Migliavacca, Yongguang Zhang, Giulia Tagliabue, Kaiyu Guan, Micol Rossini, Yves Goulas, Yelu Zeng, Christian Frankenberg, & Joseph A. Berry (2022). NIRVP: A robust structural proxy for sun-induced chlorophyll fluorescence and photosynthesis across scales. Remote Sensing of Environment, 268. https://doi.org/10.1016/j.rse.2021.112763', 'bibtex': 'ASI_NIRvP'}, 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'NIRVP: A robust structural proxy for sun-induced chlorophyll fluorescence and photosynthesis across scales', 'type': 'article', 'volume': '268', 'year': 2022}}",https://github.com/davemlz,2021-11-18
NLI,Non-Linear Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((N ** 2) - R)/((N ** 2) + R),"['N', 'R']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/02757259409532252', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Narendra S. Goel', 'Wenhan Qin'], 'citations_metrics': {'citation_count': 357, 'date': '2026-08-18', 'overall': {'percentile': 58.47, 'percentile_similar_age': 3.45, 'rank': 131, 'rank_similar_age': 29}, 'similar_age_count': 29, 'within_application_domain': {'percentile': 44.55, 'percentile_similar_age': 3.57, 'rank': 118, 'rank_similar_age': 28}}, 'how_to_cite': {'apa': 'Narendra S. Goel, & Wenhan Qin (1994). Influences of canopy architecture on relationships between various vegetation indices and LAI and Fpar: A computer simulation. Remote Sensing Reviews, 10(4). https://doi.org/10.1080/02757259409532252', 'bibtex': 'ASI_NLI'}, 'issue': '4', 'journal': 'Remote Sensing Reviews', 'source': 'crossref', 'title': 'Influences of canopy architecture on relationships between various vegetation indices and LAI and Fpar: A computer simulation', 'type': 'article', 'volume': '10', 'year': 1994}}",https://github.com/davemlz,2021-05-11
NMDI,Normalized Multi-band Drought Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - (S1 - S2))/(N + (S1 - S2)),"['N', 'S1', 'S2']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1029/2007GL031021', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Lingli Wang', 'John J. Qu'], 'citations_metrics': {'citation_count': 428, 'date': '2026-08-18', 'overall': {'percentile': 60.06, 'percentile_similar_age': 75.0, 'rank': 126, 'rank_similar_age': 11}, 'similar_age_count': 40, 'within_application_domain': {'percentile': 45.97, 'percentile_similar_age': 69.57, 'rank': 115, 'rank_similar_age': 8}}, 'how_to_cite': {'apa': 'Lingli Wang, & John J. Qu (2007). NMDI: A normalized multi‐band drought index for monitoring soil and vegetation moisture with satellite remote sensing. Geophysical Research Letters, 34(20). https://doi.org/10.1029/2007gl031021', 'bibtex': 'ASI_NMDI'}, 'issue': '20', 'journal': 'Geophysical Research Letters', 'source': 'crossref', 'title': 'NMDI: A normalized multi‐band drought index for monitoring soil and vegetation moisture with satellite remote sensing', 'type': 'article', 'volume': '34', 'year': 2007}}",https://github.com/davemlz,2021-05-11
NPCI,Normalized Pigments Chlorophyll Ratio Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(R - A) / (R + A),"['R', 'A']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/0034-4257(94)90136-8', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['J. Peñuelas', 'J.A. Gamon', 'A.L. Fredeen', 'J. Merino', 'C.B. Field'], 'citations_metrics': {'citation_count': 853, 'date': '2026-08-18', 'overall': {'percentile': 80.19, 'percentile_similar_age': 34.48, 'rank': 63, 'rank_similar_age': 20}, 'similar_age_count': 29, 'within_application_domain': {'percentile': 73.46, 'percentile_similar_age': 35.71, 'rank': 57, 'rank_similar_age': 19}}, 'how_to_cite': {'apa': 'J. Peñuelas, J.A. Gamon, A.L. Fredeen, J. Merino, & C.B. Field (1994). Reflectance indices associated with physiological changes in nitrogen- and water-limited sunflower leaves. Remote Sensing of Environment, 48(2). https://doi.org/10.1016/0034-4257(94)90136-8', 'bibtex': 'ASI_NPCI'}, 'issue': '2', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Reflectance indices associated with physiological changes in nitrogen- and water-limited sunflower leaves', 'type': 'article', 'volume': '48', 'year': 1994}}",https://github.com/MartinuzziFrancesco,2025-03-19
NRFIg,Normalized Rapeseed Flowering Index Green,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(G - S2) / (G + S2),"['G', 'S2']",[],{},{},{},"{'source_companions': ['NRFIr'], 'source_link': 'https://doi.org/10.3390/rs13010105', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Jichong Han', 'Zhao Zhang', 'Juan Cao'], 'citations_metrics': {'citation_count': 49, 'date': '2026-08-18', 'overall': {'percentile': 17.89, 'percentile_similar_age': 34.25, 'rank': 259, 'rank_similar_age': 49}, 'similar_age_count': 73, 'within_application_domain': {'percentile': 16.11, 'percentile_similar_age': 43.24, 'rank': 178, 'rank_similar_age': 22}}, 'how_to_cite': {'apa': 'Jichong Han, Zhao Zhang, & Juan Cao (2020). Developing a New Method to Identify Flowering Dynamics of Rapeseed Using Landsat 8 and Sentinel-1/2. Remote Sensing, 13(1). https://doi.org/10.3390/rs13010105', 'bibtex': 'ASI_NRFIg'}, 'issue': '1', 'journal': 'Remote Sensing', 'source': 'crossref', 'title': 'Developing a New Method to Identify Flowering Dynamics of Rapeseed Using Landsat 8 and Sentinel-1/2', 'type': 'article', 'volume': '13', 'year': 2020}}",https://github.com/davemlz,2021-09-18
NRFIr,Normalized Rapeseed Flowering Index Red,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(R - S2) / (R + S2),"['R', 'S2']",[],{},{},{},"{'source_companions': ['NRFIg'], 'source_link': 'https://doi.org/10.3390/rs13010105', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Jichong Han', 'Zhao Zhang', 'Juan Cao'], 'citations_metrics': {'citation_count': 49, 'date': '2026-08-18', 'overall': {'percentile': 17.89, 'percentile_similar_age': 34.25, 'rank': 260, 'rank_similar_age': 50}, 'similar_age_count': 73, 'within_application_domain': {'percentile': 16.11, 'percentile_similar_age': 43.24, 'rank': 179, 'rank_similar_age': 23}}, 'how_to_cite': {'apa': 'Jichong Han, Zhao Zhang, & Juan Cao (2020). Developing a New Method to Identify Flowering Dynamics of Rapeseed Using Landsat 8 and Sentinel-1/2. Remote Sensing, 13(1). https://doi.org/10.3390/rs13010105', 'bibtex': 'ASI_NRFIg'}, 'issue': '1', 'journal': 'Remote Sensing', 'source': 'crossref', 'title': 'Developing a New Method to Identify Flowering Dynamics of Rapeseed Using Landsat 8 and Sentinel-1/2', 'type': 'article', 'volume': '13', 'year': 2020}}",https://github.com/davemlz,2021-09-18
